Course_Name,Platform,Domain,Difficulty_level,Language,Program_Type,Certificate_available,Skills
El Arte De Vender:Introducci„≥N A Las Ventas,Pontificia Universidad Javeriana,Economics & Finance,Introductory,Espa„±Ol,Professional Certificate Ingerencia De Ventas: Desarrollo De Habilidades Comerciales,Yes,"Marketing, Selling Techniques, Sales"
Computing In Python Ii:Control Structures,The Georgia Institute Of Technology,Computer Science,Introductory,English,Professional Certificate Inintroduction To Python Programming,Yes,"Control Structures, Standard Deviation, Exception Handling, Python (Programming Language)"
Transforming Our World:Achieving The Sustainabledevelopment Goals,Sdg Academy,Environmental Studies,Intermediate,English,Professional Certificate Insustainable Water Managementprofessional Certificate Insustainable Cities And Urban Development,Yes,"Corporate Sustainability, Sustainability, Sustainable Development"
50-Hour English Languageteaching Methodology,Tefl Org,Education & Teacher Training,Intermediate,English,Professional Certificate In120-Hour Tefl Certification,Yes,None
Introducci„≥N A Lainteligencia Emocional,Universidades An„°Huac,Social Sciences,Introductory,Espa„±Ol,Professional Certificate Ininteligencia Emocional Y Liderazgo,Yes,"Presentations, Emotional Intelligence"
Introducci„≥N A Laregulaci„≥N Emocionalbasada En Mindfulness,Universidad Aut„≥Noma De Madrid,Health & Safety,Introductory,Espa„±Ol,None,No,"Information Sciences, Curiosity, Mental Health, Compassion"
Teaching & Learning In Thediverse Classroom,Cornell University,Education & Teacher Training,Introductory,English,None,No,"Student-Centred Learning, Planning, Discussion Facilitation, Teaching, Pedagogy, Student Engagement, Innovation, Higher Education, Communications"
Circuits For Beginners,The National University Of Singap‚Ä¶,Engineering,Introductory,English,None,No,"Function Generator, Test Equipment, Electrical Engineering, Capacitors, Inductors, Resistors, Impedance Matching, Oscilloscope, Voltage, Electrical Networks, Multimeters, Transistor"
Introduction Tomicroprocessors,Arm Education,Computer Science,Introductory,English,None,No,None
Intellectual Property Lawand Policy: Part 1,University Of Pennsylvania,Law,Intermediate,English,None,No,"Patents, Intellectual Property Laws, Influencing Skills, Intellectual Property, Innovation, Trademark Law, Trademarks"
E-Commercefundamentals,State Bank Of India,Education & Teacher Training,Introductory,English,None,No,None
The Best Start In Life: Earlychildhood Developmentfor Sustainable Develop‚Ä¶,Sdg Academy,Education & Teacher Training,Intermediate,English,None,No,"Developmental Psychology, Sustainable Development, Anthropology, Teaching, Nursing, Sociology, International Aid Transparency Initiative, Biology"
"Contemporary China: Thepeople'S Republic, Taiwan,And Hong Kong",Harvard University,History,Introductory,English,Xseries Inhistory Of China: The Modern Era,Yes,"Economics, Entrepreneurship, Global Leadership, Political Sciences, Agriculture, Sociology"
Pre-University Chemistry,Delft University Of Technology,Chemistry,Introductory,English,"Professional Certificate Inscience And Engineering - Pre-University Calculus, Physics And Chemistry",Yes,None
The Einstein Revolution,Harvard University,Humanities,Introductory,English,None,No,"Nuclear Weapons, Physics, Quantum Mechanics, Debating"
Bases Matem„°Ticas:√ÅLgebra,Universitat Polit„®Cnica De Val„®Ncia,Math,Introductory,Espa„±Ol,Xseries Inbases Matem„°Ticas Para Estudiar Ingenier„≠A,Yes,"Systems Of Equations, Calculations, Linear Equations, Operations, Basic Math, Algebra"
Blockchain: Understandingits Uses And Implications,The Linux Foundation,Business & Management,Introductory,English,Professional Certificate Inblockchain For Business,Yes,"International Trade, Influencing Skills, Non-Fungible Tokens (NFT), Interoperability, Decentralized Finance (DeFi), Bitcoin, Smart Contracts, Mechanics, Accounting, Digital Currency, Blockchain, Ledgers (Accounting), Supply Chain, Governance, Immutability, Cryptocurrency, Cryptography, Innovation"
Gesti„≥N √°Gil De Proyectos,Pontificia Universidad Javeriana,Business & Management,Intermediate,Espa„±Ol,Professional Certificate Ingesti„≥N De Proyectos Y Metodolog„≠A √°Gil,Yes,"Agile Methodology, Agile Projects, Project Management, Agile Project Management, Planning, Project Management Institute (PMI) Methodology, Decision Making"
Fa„ßAde Design Andengineering: Complexitymade Simple,Delft University Of Technology,Architecture,Introductory,English,None,No,"Research, Construction, Aesthetics, Renewable Energy"
Computing In Python Iv:Objects & Algorithms,The Georgia Institute Of Technology,Computer Science,Introductory,English,Professional Certificate Inintroduction To Python Programming,Yes,"Computer Science, Operations, Control Structures, Python (Programming Language), Search Algorithms, Algorithms, Object-Oriented Programming (OOP), Sorting, Data Structures"
Git And Github Basics,Ibm,Computer Science,Introductory,English,Professional Certificate Indevops And Software Engineering,Yes,"Github, Git (Version Control System), Web Browsers, Workflow Management, Version Control, Web UI, Open Source Technology, Operations, Software Development"
Basic Analytical Chemistry,The University Of Tokyo,Chemistry,Introductory,English,None,No,"Chemistry, Analytical Techniques, Analytical Chemistry, Life Sciences, Environmental Science, Geochemistry"
Sustainability Inarchitecture: Aninterdisciplinary Introduc‚Ä¶,Universitat Polit„®Cnica De Val„®Ncia,Architecture,Intermediate,English,Professional Certificateininterdisciplinary Sustainable Architecture Assessment,Yes,"Sustainable Business, Conceptual Model, Infrastructure"
"Devops On Aws: Code,Build, And Test",Amazon Web Services,Computer Science,Intermediate,English,Xseriesindevops On Aws,Yes,"AWS CodeBuild, Amazon Web Services, Workflow Management, Version Control, Continuous Integration, Software Quality (SQA/SQC), DevOps, Infrastructure Management, Software Development"
Ingl„©S Para Todos: Nivelb„°Sico M„°S,Universidad Del Rosario,Language,Introductory,English,None,No,None
Autism And Mental Health,Curtin University,Health & Safety,Introductory,English,None,No,"Autism Spectrum Disorders, Mental Health, Communications, Research, Advocacy"
"Building Etl And Datapipelines With Bash,Airflow And Kafka",Ibm,Computer Science,Introductory,English,"Professional Certificate Indata Engineeringprofessional Certificate Insql, Etl And Bi Fundamentalsprofessional Certificate Indata Warehouse Engineering",Yes,"Staging Area, Workflow Management, Bash (Scripting Language), Scripting, Workflows, Apache Airflow, Business Intelligence, Extract Transform Load (ETL), SQL (Programming Language), Data Pipeline, Apache Kafka, Relational Databases, Data Warehousing, Shell Script"
New Product Development,Indian Institute Of Management B‚Ä¶,Business & Management,Introductory,English,Micromasters‚ÆPrograminproduct Marketing Strategy,Yes,"New Product Development, Technology Life Cycle, Product Lifecycle"
Mlops For Scaling Tinyml,Harvard University,Computer Science,Advanced,English,Professional Certificateinapplied Tiny Machine Learning (Tinyml) For Scale,Yes,"Mathematical Optimization, Automation, Machine Learning, Benchmarking, Operations, Data Science, Smartphone Operation, Infrastructure, Product Lifecycle"
Datos Para La Efectividadde Las Pol„≠Ticas P„∫blicas,Inter-American Development Bank,Data Analysis & Statistics,Introductory,Espa„±Ol,Professional Certificateingesti„≥N P„∫blica Para El Desarrollo,Yes,"Statistical Reporting, Management, Research, Data Analysis, Planning"
Computing In Python Iii:Data Structures,The Georgia Institute Of Technology,Computer Science,Introductory,English,Professional Certificate Inintroduction To Python Programming,Yes,"Data Structures, Object-Oriented Programming (OOP), Python (Programming Language)"
Marketing Fundamentals:Who Is Your Customer?,Babson College,Business & Management,Introductory,English,Professional Certificate Inmarketing Strategyxseries Inbusiness Principles And Entrepreneurial Thought,Yes,"Customer Acquisition Management, Enthusiasm, Marketing Concepts, Marketing"
Essential Human Biology:Cells And Tissues,University Of Adelaide,Medicine,Introductory,English,None,No,"Planning, Human Biology, Anatomy, Animations, Biology, Health Sciences, Physiology"
"Big Data, Hadoop, Andspark Basics",Ibm,Computer Science,Introductory,English,"Professional Certificate Innosql, Big Data And Spark Fundamentalsprofessional Certificate Indata Engineering",Yes,"Parallel Processing, File Systems, Analytical Skills, Nodes (Networking), Satellite Imagery, Apache Hadoop, Spark Streaming, Apache Hive, Data Warehousing, Apache Spark, SQL (Programming Language), Unstructured Data, Big Data, Resilience, Pyspark"
Make Your Own App,Technische Universit„§T M„ºNchen,Computer Science,Introductory,English,None,No,"Motivational Skills, Cascading Style Sheets (CSS), JQuery, Code Editor, HyperText Markup Language (HTML), Web Development, JavaScript (Programming Language)"
Nutrition And Health:Macronutrients Andovernutrition,Wageningen University & Research,Biology & Life Sciences,Introductory,English,"Professional Certificate Infood, Nutrition And Health",Yes,"Health Impact Assessments, Written Composition, Cancer, Malnutrition, Diabetes Mellitus"
Finanzas E Inversionespara No Financieros,Universidad Del Rosario,Economics & Finance,Introductory,Espa„±Ol,None,No,None
Entropy And Equilibria,Harvard University,Chemistry,Introductory,English,Microbachelors Program Inuniversity Chemistry,Yes,"Chemistry, Influencing Skills, Thermodynamic Systems, Thermodynamics, Enthalpy"
Deep Learning Withtensorflow,Ibm,Data Analysis & Statistics,Intermediate,English,Professional Certificate Indeep Learning,Yes,"Machine Learning, Deep Learning, TensorFlow, Curve Fitting, Unstructured Data, Artificial Neural Networks, Nodes (Networking), Numerical Analysis, Dataflow"
Introduction To Electricaland Electronic Engineering- …õª∆∞ó…õª≈≠ê≈∑•≈≠¶≈Ö•…ñÄ -,Tokyo Institute Of Technology,Engineering,Introductory,English,None,No,"Basic Research, English Language, Electronic Engineering, Application Programming Interface (API), Speech Synthesis"
Css Basics,The World Wide Web Consortium‚Ä¶,Computer Science,Introductory,English,Professional Certificateinfront-End Web Developer,Yes,"HyperText Markup Language (HTML), Presentations, Front End (Software Engineering), Cascading Style Sheets (CSS), Web Standards, Web Design, Web Pages, Web Development, Character Encodings In HTML, Look And Feel"
Le Management,Hec Montr„©Al,Business & Management,Introductory,Fran„ßAis,Professional Certificateing„©Rer Son Personnel De Fa„ßOn Efficace,Yes,"Leadership, Psychology, Textiles, Management"
Gestion De Projets Ded„©Veloppement,Inter-American Development Bank,Business & Management,Intermediate,Fran„ßAis,None,No,"Project Management Institute (PMI) Methodology, Auditing, Management, Social Development"
Shakespeare'S Hamlet:The Ghost,Harvard University,Humanities,Introductory,English,"Xseries Inshakespeare'S Life, Work, And Characters",Yes,None
Introduction To Node.Js,The Linux Foundation,Computer Science,Introductory,English,None,No,"Command-Line Interface, Rapid Prototyping, Front End Design, Node.js, Full Stack Development, RESTful API, JSON, Application Programming Interface (API), JavaScript (Programming Language), Web Platforms"
